"행정구역(시군구)별(1)",행정구역(시군구)별(2),2022,2022,2022,2022,2022,2022,2022,2022
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"부산",연제구,79741,3272054,79253,3263455,71659,1705491,53632,153777
"부산",영도구,34502,1279902,34109,1262839,30407,674747,21297,65118
"부산",중구,48549,2096311,47139,1907496,41752,1100398,30362,129677
"부산",해운대구,107094,3719703,106266,3686811,93266,1985635,61680,219082
"울산",소계,409667,19465138,408662,19397022,373040,11462773,287294,1373300
"울산",남구,113422,4930704,112869,4907007,101766,2855000,74982,364080
"울산",동구,59482,2996388,59296,2981876,54984,1734870,43669,183819
"울산",북구,91826,5525236,91826,5514884,85033,3529579,70080,480836
"울산",울주군,91402,3903414,91136,3890476,83460,2205599,63710,239301
"울산",중구,53535,2109396,53535,2102779,47797,1137725,34853,105264
"경남",소계,1080124,42062037,1079691,41913128,975033,22708207,706539,2222382
"경남",거제시,80934,3287149,80933,3277761,72266,1759819,52085,152470
"경남",거창군,14225,474307,14225,472987,12824,241712,8633,19342
"경남",고성군,16253,617780,16253,615973,14752,330376,10551,32359
"경남",김해시,187812,6597981,187647,6575133,169086,3446212,120029,319880
"경남",남해군,9410,295132,9410,294459,8375,144270,5605,9949
"경남",밀양시,30932,1070106,30932,1067551,27501,560521,19112,53254
"경남",사천시,39947,1805187,39947,1799705,36425,1044173,27278,120359
"경남",산청군,9945,332166,9945,331117,8919,169554,6123,13249
"경남",양산시,117753,4521681,117642,4504339,106540,2404853,77789,228245
"경남",의령군,7590,280068,7590,279553,6991,145926,5196,11197
"경남",진주시,98882,3705361,98881,3688900,87814,1978362,62480,188858
"경남",창녕군,18216,643635,18214,641685,16536,336774,11831,28169
"경남",창원시,356972,15184145,356821,15127657,324654,8449931,241390,899025
"경남",통영시,26336,820396,26335,815772,22904,404112,14994,30637
"경남",하동군,10134,390028,10133,389140,9221,208512,6594,18829
"경남",함안군,36107,1402427,36107,1398188,33217,756870,24919,69912
"경남",함양군,8951,293415,8951,292684,8054,148337,5578,11294
"경남",합천군,9725,341073,9725,340524,8954,177893,6352,15354
"제주",소계,216654,7759606,216650,7733330,195194,4092020,136423,413113
"제주",제주시,167737,6159032,167735,6136471,151459,3277155,106079,347515
"제주",서귀포시,48917,1600574,48915,1596859,43735,814865,30344,65598
"기타",소계,486,11434,486,11422,364,5833,223,541
